Year,Age,Female Deaths,Male Deaths,Female Exposure,Male Exposure
1841,0,32800,41525,241057.19,245435.36
1841,1,13295,14014,223158.39,221712.36
1841,2,7519,7531,206533.29,203671.62
1841,3,4891,5038,196321.12,193357.43
1841,4,3548,3627,192225.78,190001.21
1841,5,2714.74,2768.2,194368.84,193864.31
1841,6,2108.29,2178.21,193963.1,194310.81
1841,7,1629.32,1705.21,189649.88,189781.28
1841,8,1277.84,1349.2,186284.03,186206.64
1841,9,1053.82,1110.19,182580.64,183508.63
1841,10,943.46,975.58,177919.61,181268.59
1841,11,891.48,895.02,174327.55,178917.88
1841,12,884.05,855.94,171814.4,176263.84
1841,13,921.17,858.31,168880.57,173204.4
1841,14,1002.85,902.15,166758.59,168918.22
1841,15,1118.37,979.41,166112.9,163445.28
1841,16,1224.84,1057.96,164197.84,158829.72
1841,17,1311.56,1129.76,161184.95,155858.4
1841,18,1378.52,1194.79,158845.3,153526.47
1841,19,1425.73,1253.08,160386.73,151729.71
1841,20,1454.39,1302.54,166479.86,150199.81
1841,21,1469.37,1334.97,168224.18,147797.38
1841,22,1471.88,1348.29,164905.91,144729.22
1841,23,1461.91,1342.53,161061.58,141207.08
1841,24,1439.46,1317.66,154200.29,136136.45
1841,25,1406.98,1277.57,144411.68,129957.73
1841,26,1374.19,1237.81,137161.32,124915.2
1841,27,1343.53,1202.22,133430.17,121540.12
1841,28,1315.01,1170.83,130480.34,118928.04
1841,29,1288.61,1143.63,128123.36,117490.55
1841,30,1264.35,1120.63,126030.5,117101.46
1841,31,1242.21,1101.82,123642.1,115835.99
1841,32,1222.2,1087.19,120649.71,113220.03
1841,33,1204.33,1076.76,116989.61,109980.43
1841,34,1188.59,1070.53,110116.34,104118.15
1841,35,1174.56,1067.86,99735.38,95474.15
1841,36,1160.63,1066.25,92526.03,89364.14
1841,37,1146.38,1065.06,89621.03,86751.65
1841,38,1131.83,1064.29,87501.48,84889.96
1841,39,1116.96,1063.95,88151.3,85419.19
1841,40,1101.77,1064.04,91928.61,88590.05
1841,41,1086.26,1064.55,93155.52,89571.55
1841,42,1070.45,1065.49,90879.82,87541.75
1841,43,1054.31,1066.86,87810,84729.14
1841,44,1037.86,1068.66,81940.44,79122.84
1841,45,1021.77,1071.01,73247.05,70660.67
1841,46,1008.69,1074.48,66944.95,64547.76
1841,47,999.29,1079.21,64358.71,62086.86
1841,48,993.58,1085.2,62820.95,60595.97
1841,49,991.55,1092.43,63326.76,60734.35
1841,50,993.19,1100.92,66220.95,62707.89
1841,51,998.53,1110.68,67421.36,63358.84
1841,52,1007.54,1121.68,65902.07,61848.94
1841,53,1020.24,1133.94,63741.72,59739.24
1841,54,1036.62,1147.45,58175.17,54508.41
1841,55,1056.47,1162.26,48558.71,45557.76
1841,56,1078.97,1178.51,42273.44,39659.9
1841,57,1103.92,1196.25,40628.89,38032.77
1841,58,1131.29,1215.46,39469.54,36856.08
1841,59,1161.11,1236.17,40919.44,37924.68
1841,60,1193.37,1258.36,45704.37,41849.07
1841,61,1228.07,1282.02,47786.67,43434.93
1841,62,1265.21,1307.19,46216.39,41860.33
1841,63,1304.79,1333.83,44420.52,40072.7
1841,64,1346.8,1361.94,40483.92,36286.72
1841,65,1390.08,1390.59,33872.65,30006.78
1841,66,1429.96,1415.96,29492.86,25828.81
1841,67,1465.24,1437.1,28044.61,24400.27
1841,68,1495.95,1453.99,26693.51,23061.56
1841,69,1522.07,1466.64,26051.4,22509.41
1841,70,1543.6,1475.06,26311.76,22947.99
1841,71,1560.56,1479.24,25726.37,22457.65
1841,72,1572.92,1479.19,24098.69,20837.15
1841,73,1580.71,1474.88,22481.22,19241.37
1841,74,1583.9,1466.36,20099.32,17180.26
1841,75,1581.39,1452.7,16742.24,14521.14
1841,76,1568.6,1430.37,14344.77,12514.76
1841,77,1544.43,1398.46,13073.42,11252.84
1841,78,1508.85,1356.99,11784.12,9991.66
1841,79,1461.88,1305.97,11617.32,9543.34
1841,80,1403.5,1245.36,11371.48,9070.33
1841,81,1333.73,1175.2,9888.67,7786.58
1841,82,1252.57,1095.46,8463.9,6594.64
1841,83,1160.01,1006.17,7208.98,5509.99
1841,84,1056.05,907.3,6046.92,4502.97
1841,85,906.9,732.78,4924.95,3617.62
1841,86,805.55,641.85,4060.57,2944.45
1841,87,716.97,551.33,3361.83,2353.78
1841,88,619.87,459.01,2709.53,1826.59
1841,89,525.49,378.27,2146.01,1405.2
1841,90,438.08,305.95,1675.45,1062.63
1841,91,358.88,242.7,1288.37,789.3
1841,92,288.7,188.66,975.41,575.41
1841,93,227.9,143.65,726.73,411.56
1841,94,176.43,107.04,532.3,288.49
1841,95,133.84,78.02,383.11,198.04
1841,96,99.46,55.61,270.89,133.15
1841,97,72.34,38.73,188,87.59
1841,98,51.49,26.35,127.89,56.2
1841,99,35.84,17.52,85.23,35.27
1841,100,24.4,11.36,55.58,21.59
1841,101,16.24,7.2,35.43,12.72
1841,102,10.56,4.46,22.21,7.18
1841,103,6.71,2.69,13.44,3.9
1841,104,4.17,1.59,7.76,1.76
1841,105,2.53,0.91,4.39,0.53
1841,106,1.5,0.3,2.21,0.05
1841,107,0.87,0,0.97,0
1841,108,0.28,0,0.2,0
1841,109,0,0,0,0
1841,110+,0,0,0,0
1842,0,34685,44115,233582.41,239745.69
1842,1,13969,14771,221598.07,221800.34
1842,2,7509,7592,213306.51,211745.05
1842,3,4798,4859,200743.9,198157.59
1842,4,3474,3426,192565.29,189884.99
1842,5,2644.81,2601.79,189583.46,187661.74
1842,6,2051.92,2059.56,192162.87,191797.98
1842,7,1585.21,1625.66,192003.33,192150.27
1842,8,1244.69,1300.11,188113.67,188033.87
1842,9,1030.37,1082.89,185069.79,184785.89
1842,10,928.2,962.02,181547.34,182285.16
1842,11,882.03,889.63,177247.31,180124.63
1842,12,877.84,853.72,174394.65,177832.24
1842,13,915.6,854.29,171843.03,175193.18
1842,14,995.33,891.34,168808.41,172092.55
1842,15,1106.99,958.23,166531.45,167724.75
1842,16,1210.44,1028.34,165565.14,162200.85
1842,17,1295.65,1095.03,163367.68,157606.12
1842,18,1362.61,1158.29,160321.89,154621.23
1842,19,1411.31,1218.11,157941.13,152251.59
1842,20,1442.74,1271.52,159394.69,150350.95
1842,21,1460.69,1306.49,164860.63,148629.09
1842,22,1466.12,1320.03,165812.57,146096.22
1842,23,1459.03,1312.14,162538.59,143054.59
1842,24,1439.41,1282.82,158672.62,139507.04
1842,25,1409.68,1236.6,151819.98,134441.23
1842,26,1379.38,1191.63,142273.02,128390.86
1842,27,1350.93,1152.45,135277.96,123502.55
1842,28,1324.31,1119.03,131617.23,120196.36
1842,29,1299.52,1091.4,128731.04,117645.34
1842,30,1276.58,1069.55,126419.09,116253.12
1842,31,1255.47,1053.48,124363.94,115826.6
1842,32,1236.2,1043.2,122018.08,114506.87
1842,33,1218.76,1038.69,119028.19,111884.7
